directory,file_name,variable_name,variable_type,description
data/,ploswater.rda,abstract_inverted_index.using,character,NA
data/,ploswater.rda,abstract_inverted_index.as,character,NA
data/,ploswater.rda,abstract_inverted_index.two,character,NA
data/,ploswater.rda,abstract_inverted_index.additional,character,NA
data/,ploswater.rda,abstract_inverted_index.relevant,numeric,NA
data/,ploswater.rda,abstract_inverted_index.to,character,NA
data/,ploswater.rda,abstract_inverted_index.The,character,NA
data/,ploswater.rda,abstract_inverted_index.majority,numeric,NA
data/,ploswater.rda,abstract_inverted_index.or,character,NA
data/,ploswater.rda,abstract_inverted_index.published,numeric,NA
data/,ploswater.rda,abstract_inverted_index.since,character,NA
data/,ploswater.rda,abstract_inverted_index.proportion,character,NA
data/,ploswater.rda,abstract_inverted_index.studies,character,NA
data/,ploswater.rda,abstract_inverted_index.half,character,NA
data/,ploswater.rda,abstract_inverted_index.yet,numeric,NA
data/,ploswater.rda,abstract_inverted_index.only,character,NA
data/,ploswater.rda,abstract_inverted_index.provided,character,NA
data/,ploswater.rda,abstract_inverted_index.a,character,NA
data/,ploswater.rda,abstract_inverted_index.least,character,NA
data/,ploswater.rda,abstract_inverted_index.assessing,character,NA
data/,ploswater.rda,abstract_inverted_index.are,character,NA
data/,ploswater.rda,abstract_inverted_index.is,character,NA
data/,ploswater.rda,abstract_inverted_index.main,character,NA
data/,ploswater.rda,abstract_inverted_index.more,character,NA
data/,ploswater.rda,abstract_inverted_index.approaches,character,NA
data/,ploswater.rda,abstract_inverted_index.reduce,character,NA
data/,ploswater.rda,abstract_inverted_index.systemic,numeric,NA
data/,ploswater.rda,abstract_inverted_index.resources,character,NA
data/,ploswater.rda,abstract_inverted_index.For,character,NA
data/,ploswater.rda,abstract_inverted_index.first,character,NA
data/,ploswater.rda,abstract_inverted_index.time,character,NA
data/,ploswater.rda,abstract_inverted_index.has,character,NA
data/,ploswater.rda,abstract_inverted_index.been,character,NA
data/,ploswater.rda,abstract_inverted_index.focus,character,NA
data/,ploswater.rda,abstract_inverted_index.both,character,NA
data/,ploswater.rda,abstract_inverted_index.2,character,NA
data/,ploswater.rda,abstract_inverted_index.we,character,NA
data/,ploswater.rda,abstract_inverted_index.argue,numeric,NA
data/,ploswater.rda,abstract_inverted_index.here,numeric,NA
data/,ploswater.rda,abstract_inverted_index.not,character,NA
data/,ploswater.rda,abstract_inverted_index.attention,character,NA
data/,ploswater.rda,abstract_inverted_index.it,character,NA
data/,ploswater.rda,abstract_inverted_index.scientists,character,NA
data/,ploswater.rda,abstract_inverted_index.policymakers,character,NA
data/,ploswater.rda,abstract_inverted_index.several,numeric,NA
data/,ploswater.rda,abstract_inverted_index.historical,character,NA
data/,ploswater.rda,abstract_inverted_index.temperature,character,NA
data/,ploswater.rda,abstract_inverted_index.change,character,NA
data/,ploswater.rda,abstract_inverted_index.further,numeric,NA
data/,ploswater.rda,abstract_inverted_index.increased,character,NA
data/,ploswater.rda,abstract_inverted_index.with,character,NA
data/,ploswater.rda,abstract_inverted_index.use,character,NA
data/,ploswater.rda,abstract_inverted_index.global,character,NA
data/,ploswater.rda,abstract_inverted_index.levels,character,NA
data/,ploswater.rda,abstract_inverted_index.by,character,NA
data/,ploswater.rda,abstract_inverted_index.an,character,NA
data/,ploswater.rda,abstract_inverted_index.aim,numeric,NA
data/,ploswater.rda,abstract_inverted_index.be,character,NA
data/,ploswater.rda,abstract_inverted_index.consistent,character,NA
data/,ploswater.rda,abstract_inverted_index.current,character,NA
data/,ploswater.rda,abstract_inverted_index.policy,character,NA
data/,ploswater.rda,abstract_inverted_index.increasing,character,NA
data/,ploswater.rda,abstract_inverted_index.extreme,character,NA
data/,ploswater.rda,abstract_inverted_index.weather,character,NA
data/,ploswater.rda,abstract_inverted_index.sometimes,character,NA
data/,ploswater.rda,abstract_inverted_index.changes,character,NA
data/,ploswater.rda,abstract_inverted_index.such,character,NA
data/,ploswater.rda,abstract_inverted_index.land,character,NA
data/,ploswater.rda,abstract_inverted_index.variability,character,NA
data/,ploswater.rda,abstract_inverted_index.cycle,character,NA
data/,ploswater.rda,abstract_inverted_index.season,character,NA
data/,ploswater.rda,"abstract_inverted_index.season,",numeric,NA
data/,ploswater.rda,abstract_inverted_index.year,character,NA
data/,ploswater.rda,abstract_inverted_index.also,character,NA
data/,ploswater.rda,abstract_inverted_index.impacts,character,NA
data/,ploswater.rda,abstract_inverted_index.all,character,NA
data/,ploswater.rda,abstract_inverted_index.needed,character,NA
data/,ploswater.rda,abstract_inverted_index.understanding,character,NA
data/,ploswater.rda,abstract_inverted_index.effectiveness,character,NA
data/,ploswater.rda,abstract_inverted_index.future,character,NA
data/,ploswater.rda,abstract_inverted_index.adaptation,numeric,NA
data/,ploswater.rda,abstract_inverted_index.strategies,character,NA
data/,ploswater.rda,abstract_inverted_index.reducing,character,NA
data/,ploswater.rda,abstract_inverted_index.water-related,character,NA
data/,ploswater.rda,abstract_inverted_index.climate,character,NA
data/,ploswater.rda,"abstract_inverted_index.Finally,",numeric,NA
data/,ploswater.rda,abstract_inverted_index.role,character,NA
